titles,category
"李대통령 ""조작기소 특검? 법과 상식대로…공소 잘못됐으면 취소해야""",Politics
"李 ""한일 군수지원협정, 현실적 필요성 있지만 국민 정서상 현재로선 어려워""",Politics
"'초심넥타이' 맨 李대통령, 167분 마라톤회견…""더 열심히 해야""",Politics
"李대통령 ""北비핵화, 단계적 접근 필요…트럼프에 여러 차례 얘기""(종합)",Politics
[뉴스퀘어10] 취임 1년 회견...집권 2년 차 국정 방향은? ②,Politics
"""욱한 거 아니다"" 대통령 거침없이 술술…외신 깜짝 [현장영상]",Politics
"李 대통령 ""환율, 높은 건 사실이지만 일시적 현상""",Politics
이 대통령 “북한과 끊임없이 대화해야…비핵화 목표 포기 못해”,Politics
李 “잘못됐으면 공소취소하면 돼”…지선 결과엔 “국민의 경고”,Politics
[속보] 초심 넥타이 맨 이재명 대통령…167분간 답변 21건,Politics
[지상중계] 李대통령 취임 1주년 기자회견-19,Politics
"""1500원대 환율에 대한 진단은?""...날카로운 질문에 이 대통령의 답 [현장영상+]",Politics
"[티조챗] ""누가 되든 관심없고 내 권리를 왜 국가 맘대로?""…분노한 청년들 왜 '스케치북 피켓' 들었나",Politics
국힘 당감위원장 “서울시장 선거 무효…선관위에 소청할 것”,Politics
"안철수 ""李, 나 몰라라 해외 순방 갈 때 아냐…투표용지 사태 직접 나서라""",Politics
"6·3 지선, '2030 여성 지지세도 약화' 질문에 李 대통령 답변은",Politics
"""8천 깨졌던데 대폭락이요?""…""그런데"" 마지막에 빵 터졌다 [현장영상]",Politics
"李 “남북관계, 오른손은 때려도 왼손은 잡아야…평화통일 지향 포기못해”",Politics
"장동혁, 투표용지 사태 '올인'…지도부 '사퇴론' 돌파",Politics
"이 대통령 ""지선 결과, 도대체 납득할 수 없는 상황...그것도 국민이 주는 경고""",Politics
"환율 1560원 돌파에 긴급회의...""투기적 거래 엄정 조치""",Economic
"생산적 금융 활성화 정책 효과…전산업 대출, 3년 2분기 만에 최대↑",Economic
"주식 너무 떨어지는데 괜찮나요…""기뻐하세요, 세일 기간입니다"" 젠슨 황의 AI 자신감",Economic
"“자재 운반·반복 작업 적용”…GS건설, 대동로보틱스와 건설현장 로봇 기술 공동 개발",Economic
軍 훈련소서도 청년미래적금 든다…정부 비대면 가입 지원,Economic
[속보] 코스피 8% 급락 7500선 무너져… 서킷브레이커 발동 20분간 매매 중단,Economic
서울 국평 분양가 '21억' 돌파...전국 평균분양가도 사상 최고,Economic
"젠슨 황 ""LG와 거대한 팀""…구광모 ""캘리포니아서 재회동""",Economic
"정용진 회장, 이마트 등기이사 맡는다...""완전한 책임경영"" 방점",Economic
"경제계 ""한성숙 국무총리 후보자 지명 환영""",Economic
"SK하이닉스, HBM4 생산 확대…한미반도체 TC본더 발주",Economic
"정용진, '책임경영' 나선다…이마트·신세계프라퍼티 대표 선임",Economic
"현대차 찾은 젠슨 황, 로봇 설명한 정의선..상징적 장면 나왔다",Economic
[뉴스현장] 코스피 7500 붕괴...'검은 월요일' 현실화,Economic
"""한국 못 믿는게 아니라..."" 외인 100조 매도 폭탄의 진실은",Economic
李 대통령 “초과이윤 논쟁 신중해야”…삼성·SK하이닉스 언급하며 결론 유보,Economic
"정용진, 이마트·신세계프라퍼티 대표 맡는다…""책임경영 강화""",Economic
"이재명 대통령 ""코스피 8000 깨졌다고 대폭락? 2700 비해 엄청 오른 것""",Economic
‘무려 119조’ 잘 먹고 떠난 외국인…“팔면 후회 vs 과열” 글로벌 투자자들도 코스피 전쟁,Economic
"SK하이닉스 수주한 한미반도체 ""2분기부터 실적 개선""",Economic
"[이재명 정부 1년]⑥-2 ""영업이익 N%""…보상 요구 급변",Economic
"정용진 회장, 이마트 등기이사 맡는다...""완전한 책임경영"" 방점",Economic
"""사과보다 달다?""…한 달 반짝 팔리는 '초당옥수수의 비밀' [프라이스&]",Economic
"""이게 주가조작 아닌가""…李대통령, 인탑스 직격에 금융당국 칼 뺐다",Economic
정용진 회장 이마트·프라퍼티 대표이사로… “등기이사 맡아 책임경영 실현”,Economic
"[오후장 체크포인트] 코스피, 한때 7800선도 만회…저가 매수세 유입",Economic
"한국 기업 손잡고 미래로...젠슨 황 ""이제부터가 시작""",Economic
"엔비디아-SK, 2년 LTA 공식화…이젠 삼성전자 차례",Economic
코스피 서킷브레이커...고환율에 외환당국 구두개입,Economic
"""에이전트 AI 시대, 53만전자·320만닉스 간다""…이마트, 스벅 악재에도 ""저점 매수 기회"" [株토피아]",Economic
"'치료비 아니라 진심 사과 해야' 李대통령, 日 군수지원협정",Economic
양재동서 만난 젠슨 황과 정의선…내리자마자 '격한 포옹',Economic
[현장] 현대차 양재사옥 도착한 젠슨황…정의선·박민우와 재회 포옹,Economic
역대 최악 에너지 수급난에도 왜 유가 100달러 밑돌까?,Economic
"코스피 급락해 8,000선 붕괴…환율 1,540원대",Economic
"""스페이스X IPO 참여해 편입"" ACE ETF, 개인 순매수 600억 몰려",Economic
"[직설] 젠슨 황, AI인프라부터 휴머노이드까지 협력 확대 시사…효과는?",Economic
구광모 LG회장 만난 젠슨 황 “로봇부터 공조까지 우리는 원팀”,Economic
[시장 따라잡기] 코스피 급락 속 전통적 방어주로 대피 이어지나?,Economic
증시 급락 속 투자고수들의 선택은…젠슨 황 효과 'SK·LG그룹주'에 주목,Economic
수도권 아파트 신고가 비중 10% 붕괴… 대출 규제에 얼어붙은 매수 심리,Economic
"구자은 LS그룹 회장, 인베니 지분 확대일로…올해만 12억 추가 매입",Economic
스페이스X IPO 청약 1500억달러 몰렸다… ‘역대 최대 상장’ 흥행 조짐,Economic
"LG그룹株, 엔비디아 회동에도 약세…LG전자 8% 급락[이런국장 저런주식]",Economic
"[현장영상+] 젠슨 황, 현대차그룹 사옥에...'깐부' 정의선 회동",Economic
하락장에 베팅하는 사람들이 늘었다? '포모'의 그림자 [불장의 이면①],Economic
"SK하닉 직원의 ""돈 자랑""… 보육원 창고를 도서관으로 만든 기적",Social
산후조리원 '먹튀' 막는다…임산부에 30일 전 고지 의무화,Social
"“음료 3잔 횡령” 알바생 고소해놓고…‘49명 임금’ 떼먹은 빽다방 점주, 형사입건",Social
"교육부, 3기 협약형 특성화고 16곳 선정…내년 신입생 모집",Social
"경찰, 서소문 고가차도 붕괴 수사 속도…""18명 조사·4명 입건""",Social
李정부 승인 대북지원품 北남포 도착 '파장'..공작원 리호남과 올초 접촉 주장 나와,Social
"전남광주 통합, 지역소멸 극복...'선순환 교육 생태계' 절실",Social
지난 1년간 임업인·산촌 대상 대대적 규제개혁 '성과',Social
'연어 술파티 진술 회유' 이화영 국민참여재판 오늘 시작‥배심원 구성,Social
"70대 슈퍼 주인 살해·현금 훔친 중국인, 범행 하루만에 검거",Social
"""극우 유튜브 채널 알고 있나?""... 시민 배심원 12명 최종 확정",Social
"본인 병은 못 고치나…‘건강 악화 호소’ 허경영, 결국 보석으로 풀려난다",Social
"서울대생들 만난 젠슨 황 ""나를 K-젠슨이라 불러달라""(종합)",Social
'폭행·고문·강제노동' 캄보디아 범죄단지는 아직 여전하다,Social
"""윤호상 서울교육감 '무자격' 후보"" 논란에 선관위 ""확인 중""",Social
“제발요” 겨우 들어간 핸드볼 대표팀…시위대는 가방까지 검사했다,Social
"""20대 몽둥이 들어야 할 대상"" 정준희 논란, 교육부 징계요청까지",Social
[속보] 부산 육군사단서 여성 하사도 목숨 끊어… 4명 잇단 사망에 인권위 “복무여건 개선하라”,Social
지방선거 이후 첫 주말…토요일에 한강버스 5000명 넘게 탔다,Social
"[속보] 지하철 승객 가방서 ‘모락모락’…보조배터리 연기, 5월에만 3건 있었다",Social
"“K-젠슨이라 불러달라”…젠슨 황, 서울대 공대생에 '러브콜'",Social
中 어린이집서 4살 아이 입술에 글루건 지진 교사…“실수였다”,Social
'여론조사비 대납 혐의' 오세훈·'내란 혐의' 추경호 10일 재판 재개,Social
"[뉴스브리핑] 오늘의 주요뉴스…""선거 결과는 국민의 경고…더 낮은 자세로""",Social
"리박스쿨 대표, 지난 대선 당시 댓글 여론조작 혐의 부인 ""업무방해만 인정""",Social
"이원택 ""끝내준다더니 서운""…전북경찰청장 ""누가 한 말인지 궁금""",Social
"기울어진 투자, 중심잡을 수 있을까…새만금 한중협력단지 활성화 촉각",Social
울산 ‘고래뼈에 박힌 사슴뿔 작살촉’ 국가민속문화유산 된다,Social
한라산서 40대 등반객 심정지…지나가던 여고생이 살렸다,Social
코끼리 기형 상아도 못 고치는 동물원 ‘더파크’···‘공립 동물원’ 변화로 새 희망 찾을까,Social
"[다문화 3.0] 제주살이 푹 빠진 미국인 해녀 젠터 ""전생에 해녀였나봐요""",Social
"제천 교회 주차장 차량 추락 70대 부부 숨져… ""급발진 주장""",Social
"서울대 학생들 보고 ""부럽다""...과잠 입은 젠슨 황의 선물 [지금이뉴스]",Social
사우나서 남아 성추행한 30대 남성…현행범 체포,Social
"젠슨 황, 서울대생들 만나…""최고의 시기에 졸업해 부러워""",Social
“돈이 있어야 주식하죠” 복권으로 몰린 저소득층,Social
"'부산 돌려차기男' 배상은 안하면서 ""매달 15만원 영치금 쓰게 해달라""....피해자 '분노'",Social
"여야 청년 정치인도 ""정원오 당선됐으면 유혈사태""…재선거엔 엇갈린 의견",Social
"잠실 개표소 시위 나흘째…훈련용품 빼려다 ""제발요"" 손비빈 유소년 국가대표팀",Social
"선거 패배한 김영환 충북지사 ""승복 못 해""…명부 누락 의혹 제기",Social
초록빛으로 뒤덮인 경포호... 강릉의 얼굴이 병들고 있다,Social
지방의회가 쏘아 올린 '출장비 부풀리기'…공무원만 무더기 송치,Social
"개표소 농성...""재선거"" 요구에 ""부정선거"" 구호도",Social
"‘유퀴즈’ 젠슨 황, 화사 팬 인증...“정말 매력적, 가창력 훌륭해”",Social
"경찰, '투표용지 부족' 선관위 고발 사건 본격 수사 착수…고발장 4건 접수(종합)",Social
"“음료 3잔 횡령” 알바생 고소해놓고…‘49명 임금’ 떼먹은 빽다방 점주, 형사입건",Social
"젠슨 황, '골든' 맞춰 춤추고…""화사 음악 대단히 사랑해""",Culture
"동아ST ""SGLT2 억제제, 오리지널 포시가 대비 비열등성 확인""",Culture
K-콘텐츠 미래 전략 한자리에…'2026 콘텐츠산업포럼' 17일 개막,Culture
교보문고 “올해 소설 압도적 강세…20대 독자 서점서 소설 구매↑”,Culture
"전국 구름 많음, 한낮 초여름 날씨...동쪽 한때 소나기[날씨]",Culture
"문체부, 디지털관광주민증 지역 52곳으로 확대…1천400곳 혜택",Culture
결혼 9년만에 임신…쌍둥이 첫째 잃었으나 22주 버텨 둘째 출산,Culture
여름밤 펼쳐지는 음악 축제 '2026 클래식 레볼루션',Culture
"“13만원 티켓 억지로 많이 팔더니 결국”…화장실 줄서기만 30분, ‘뷰민라’ 관객 불만 속출",Culture
전시는 안 되는데 판매는 된다고?…법망 교묘히 피하는 ‘편법 동물원’,Culture
“고급 호텔도 안심 못 한다” 다시 고개 든 빈대 공포…어떻게 대처하지?,Culture
"에스파 지젤, 눈에 띄게 마른 모습에 결국 해명… “ADHD 때문”",Culture
軍 훈련소에서 청년미래적금 든다…정부 비대면 가입 지원,Culture
"2주 만에 탈락 모발 73% 감소…카이스트 연구팀, 신소재 재생 샴푸 개발",Culture
[부산일보 오늘의 운세]6월 9일(음 4월 24일),Culture
알바생 '음료 3잔' 횡령논란 점주 형사입건 됐다,Culture
"""3가지 신호 무시했다""…美 '서바이버' 스타 암 투병 고백, 어땠길래?",Culture
"""단순 안검하수 아니었다""… 눈꺼풀 처지던 60대 남성, '이 질환' 진단",Culture
"쿠션을 채워 쓴다…에이블리, 뷰티 재구매 구조 '터치'",Culture
"[날씨] 전국 구름 많음, 한낮 초여름 날씨...동쪽 한때 소나기",Culture
[뉴스12 날씨] 저녁까지 동쪽 소나기…낮 더위 주춤,Culture
"“젊어졌다” 최은경, 확 달라진 인상… 어떤 시술 받았나?",Culture
"“엄마, 이거 잘 안보여?”…시력 저하, 뇌 인지 능력도 떨어뜨린다",Culture
“휴대전화 바꿔볼까”…‘삼전’ 제품 사면 구매액 20% 온누리상품권 환급,Culture
"‘혈압에 좋은’ 비트, 제대로 활용하는 방법 5가지",Culture
상반기 팔린 책 10권 중 1권은 소설…100위권 중 30종 차지,Culture
"케이크 먹을 때 설거지 걱정 끝, 이 접시를 써보세요",Culture
새벽부터 옷장 앞에...  선거 참관인으로 본 투표소의 하루,Culture
국산 율무는 ‘골’이 좁다…수입 율무와 구별하는 법,Culture
천년고찰 청평사 이자현 거사 입적 900주기 헌다례 봉행,Culture
"‘독서도 힙하게’···20대가 서점으로, 소설이 베스트셀러 휩쓸었다",Culture
"""20대는 서점가서 소설 샀다""…상반기 도서시장 '텍스트힙' 주도",Culture
수족구병 환자 3주 연속 증가…입안 물집·손발 발진 생겼다면 의심,Culture
"매운 고추가 건강에 좋다?... ""특정 재료보다 식습관이 더 중요""",Culture
"LG에너지솔루션, 美 관세 환급 신청…1000억원 이상 환급 전망",Culture
"진행성 위암 완화 수술, 위절제술보다 합병증·사망 위험 높아",Culture
"문체부, 디지털관광주민증 운영 지역 52곳으로 확대",Culture
"홍합 접착단백질로 만든 백신, 면역 지속력 3배…""암 백신에도 적용""",Culture
“말이 왜 이러지?”…놓치면 안 되는 뇌졸중 적신호 4가지,Culture
“올여름 역대급 폭염 온다”… ‘벌써?’ 한발 빠르게 등판한 편의점 여름 별미 신상들,Culture
국물 흘리고 스마트폰 흔들리고… 양손 다 떨리면 뇌 오류일 수도,Culture
“Nothing is better than 치맥” BBQ 홍대입구점부터 잠실구장까지 젠슨 황의 K치킨 사랑,Culture
"레미콘노조 휴업 첫날…건설현장 ""콘크리트 타설 차질"" 우려",Culture
"정의선·젠슨 황, 오늘 양재사옥서 회동…로보틱스 협력 본격화하나",Culture
"시진핑, 7년만에 방북… 북·러 밀착 속 中영향력 확인",World
"이스라엘이 레바논 때리자…이란, 이스라엘에 미사일 반격",World
"""냉동 고등어 안심하고 드세요""…해수부, 수입 수산물 유통 관리 강화",World
“언론도 부정선거 알고 있는데”…근거 묻자 인터뷰 중단한 트럼프,World
1290만 명 중국 수능 ‘가오카오’…중국이 멈췄다,World
필리핀 민다나오 남쪽 해역 규모 7.8 강진…“쓰나미 경보 발령”,World
"영·프·독 정상, 젤렌스키와 회동…러시아에 휴전 촉구",World
"'과대평가 됐다'…""스페이스X 가치는 1.3조달러""",World
"""中 핵탄두 수, 지난해 620기로 증가…실전배치도 늘려""",World
일본 1분기 경제 성장세 ‘주춤’…AI 특수에 수출은 ‘질주’,World
"젤렌스키·E3 정상, 러우전쟁 종식 5대 조건 제시···“전쟁 끝내고 외교로”",World
"트럼프 “보복 말길” 요청에도...이스라엘, 이란에 미사일 공격[美-이란전쟁]",World
"핵보유국들, 핵탄두 실전 배치 증가, 위협 고조-SIPRI",World
AI 거품·중동 리스크 겹쳤다…亞증시 급락·유가 급등,World
"트럼프, 韓기업에 1000억 토해낸다…‘눈물의 관세 환급’ 아직 200조원 남아 [핫이슈]",World
엔비디아·브로드컴 직격탄?...월가에 불어닥치는 태풍 [지금이뉴스],World
"[뉴스나우] 시진핑, 7년 만에 방북...북중 재밀착 속 회담 의제는?",World
"[영상] 트럼프, ‘선거 조작 증거’ 묻자 폭발…NBC 인터뷰 중 자리 떴다 [핫이슈]",World
시진핑 평양 도착...'핵 쐐기' 김정은 마중 나온 듯,World
시진핑 전용기로 평양 도착…7년만의 방북 일정 시작,World
“中핵탄두 620기로 실전 배치도↑…2차 타격 능력 강화”,World
"""스페이스X, 위험한 도박""...전문가조차 ""이 가격엔 안 산다"" 경고",World
‘AI 인재전쟁’ 뛰어든 中 화웨이… 전 세계서 22만명 끌어모아,World
"美 의회, '해군 함정 해외 건조 금지' 추진…한·미 조선협력 변수",World
"시진핑 부부 7년 만에 방북… 김정은 부부, 공항서 직접 영접",World
亞증시 초토화…코스피 6%·닛케이 4%·자취안 5% 급락,World
"이스라엘, 이란 심장부 타격…""보복 말라"" 트럼프 경고 무색",World
"""앱으로 택시 부르는 평양, 무슨 일?""…'러시아 특수'에 살아난 北 경제",World
독일 지방선거서 네오나치당 후보가 시장 될 뻔,World
월드컵 조급한 트럼프… “이란과 10일까지 합의”,World
"트럼프, 부정선거론 펴다가 근거 못 대고…방송 인터뷰 중 ‘버럭 퇴장’",World
"이스라엘, 이란 군사시설 보복 타격…확전 우려 커져",World
"시진핑 내외 평양 향해 이륙…김정은, 공항서 직접 맞이할 듯(종합)",World
"다시 시작된 '보복 악순환'…이스라엘, 이란 군사시설 타격",World
習 “북중친선 언제나 불패”…北 ‘밀착과시’ 속 북핵 논의 주목,World
"시진핑, 7년만에 방북 배경은…북러 밀착 견제 목표",World
日닛케이지수 4% 넘게 급락..6만4천선 붕괴,World
"시진핑, 7년만의 방북…전용기로 베이징서 출발",World
“군대 투입 허용”…반정부 시위 격화에 볼리비아 의회 계엄령법 통과,World
“美 패트리엇과 맞먹는다”…대만 코앞까지 온 中 신형 미사일 정체는? [밀리터리+],World
11년 전엔 공연도 취소했는데…北 핵보유국 굳히기에 '침묵'하는 中,World
"이스라엘군 ""이란 서부·중부 표적 공습""",World
"이스라엘, 이란 테헤란·이스파한 보복공습…""군사목표 타격""(상보)",World
필리핀 7.8 강진에 日·대만 등 쓰나미 위험…최소 1명 사망(종합),World
세번째 방북 시진핑 “군국주의 부활” 일본에 강한 경고,World
"SIPRI, 북한 보유 핵탄두 추정치 50→60기로 상향",World
"젠슨황x이해진, 오늘 네이버 '비전스테이지'서 치지직 생방송",IT
① 국내 최초 컴퓨터박물관이 변신을 결심한 이유[넥슨뮤지엄에 묻다],IT
항암제 내성 전이암 잡는 신물질 발견…정상세포 손상은 최소화,IT
"“기술혁신 장려”…6월 대한민국 엔지니어상, 6명 수상자 선정",IT
변대석 한국나노기술원장 취임…“국가전략기술 선도 거점 기관 육성”,IT
"""바이브 코딩 넘는다""…LG CNS, 스스로 일하는 'AI 개발자' 출시",IT
한화오션 조선소서 휴머노이드 로봇 실증… 에이로봇·엔닷라이트 협력,IT
"카이스트 탈모샴푸 '그래비티', 머릿결+두피케어 성분추가",IT
"""기술 로드맵도 함께""... AI 인프라 기업 기회 잡은 SK, 제품 수요처 확보한 엔비디아",IT
"정용진 회장, 이마트·신세계프라퍼티 대표 맡는다...""책임경영""",IT
제주 바다 규조류 추출물로 샴푸 개발…2주 쓰니 탈락 모발 73% 감소,IT
미국이 막았는데 영국이 열어줬다…화웨이 유럽 진출의 숨은 이야기,IT
"SK하이닉스, 한미반도체 TC본더 442억원 발주…""HBM4 생산 확대""",IT
AI 반격 나서는 '지각생' 애플… WWDC 관전 포인트,IT
"젠슨 황 보려고 서울대 '100m 대기줄'… ""이젠 기계공학자의 시대""",IT
20년 넘은 ISS 노후화 경고음…공기 유출로 긴급 대피 소동 [우주로 간다],IT
매크로 변수가 부른 '크립토 윈터'…'정책 모멘텀' 반등될까 [크립토브리핑],IT
SKT '풀스택'·네이버 '소버린'…엔비디아와 글로벌 AI 수요 대응(종합2보),IT
"[기획]젠슨 황, SK·삼성과 'AI 팩토리 구축' 전방위 협력",IT
태평양에 무슨 일?...위성이 포착한 슈퍼 엘니뇨 신호,IT
"李대통령 ""초과이윤 국제적 논의 필요...초과세수는 미래 투자""",IT
"李 대통령, 투표용지 부족에 ""헌정시스템 문제, 정부 요인 의견 듣겠다""",IT
"에이로봇·엔닷라이트, 한화오션과 조선업 휴머노이드 실증 추진",IT
"젠슨 황 ""LG·엔비디아 '원 팀'처럼 일해…많은 발표 있을 것""",IT
"SKT, 엔비디아와 맞손…아시아 최대 AI 인프라 회사로 도약",IT
‘40대’ 탈모인 겨냥 그래비티 샴푸 ‘출시’…모발 탈락 ‘73%’ 감소,IT
"환경호르몬이 만든 '불량 면역세포', 항암 방어 무너뜨린다",IT
"AI 인프라 강조한 젠슨 황...SKT, 핵심 파트너로 부상 [현장+]",IT
"LG, 엔비디아와 모빌리티·AI인프라·피지컬AI 미래 지도 그린다",IT
젠슨 황 “투자자라면 다음 주를 생각 말고 10년 후 생각하라”,IT
"[AI 고속도로] 네이버-엔비디아, 초대형 AI 인프라 '동맹'…유럽·중동 소버린 공략한다",IT
"‘통신사→AI 인프라 기업’…SKT, 그룹 AI 전략 핵심축 부상",IT
"엔비디아와 동맹 맺은 SKT, AI 인프라 구축 나선다",IT
"LG트윈타워 간 젠슨 황 ""LG와의 가장 중요한 협력 분야는 로봇""",IT
"AI, 데이터센터 넘어 전력·건설 현장까지 확산",IT
"“스페이스X, 너무 비싸다…이 가격엔 안 사” 전문가 의견 나왔다",IT
"100억 년 전 ‘잠든 블랙홀’, 세계 최초로 관측 성공",IT
축구장 21배 ‘AI 심장’ 만드는 LGU+ “5조원 수주한다”,IT
'젊은' 활동은하핵 특이현상 포착…우주 진화 비밀 실마리,IT
젠슨 황 파워?…코스피 급락장에 SKT 나홀로 급등,IT
"""나는 한국과 함께 성장"" 젠슨 황, 엔씨·크래프톤 연쇄 회동 이유",IT
"[종합] 'AI 전방위 협력' 맞손 잡은 최태원-젠슨 황…""내년 韓 AI 팩토리 구축""",IT
[포스트 오라클] 티베로의 무기…서버 꺼져도 데이터는 산다,IT
"NASA X-59, 첫 초음속 비행 성공…저소음 초음속 시대 눈앞",IT
